firstname,num_games_2013,avg_points_2013,num_games_2014,avg_points_2014,num_games_2015,avg_points_2015,num_games_2016wc,avg_points_2016wc,num_games_2016,avg_points_2016
"Karanveer Singh",,,5,83,4,12,,,,
"Shardul Thakur",,,0,,1,23,,,,
"Apporv Wankhade",,,0,,,,,,,
"Jalaj Saxena",,,0,,0,,,,,
"Lendl Simmons",,,8,91,13,75,2,102,1,9
"Corey Anderson",,,12,55,4,58,5,48,,
"Ben Dunk",,,3,28,,,,,,
"Sushant Marathe",,,0,,,,,,,
"Josh Hazlewood",,,0,,0,,2,25,,
"Krishmar Santokie",,,2,43,,,,,,
"Marchant de Lange",,,1,70,1,52,,,,
"Shreyas Gopal",,,4,61,1,20,,,1,6
"Nic Maddinson",,,2,19,1,1,,,,
"Rilee Rossouw",,,3,15,2,17,1,5,,
"Tanmay Mishra",,,0,,,,,,,
"Vijay Zol",,,3,13,0,,,,,
"Yogesh Takawale",,,5,36,0,,,,,
"Parthiv Patel",,,12,41,14,51,,,10,41
"Abu Nechim",,,4,34,3,21,,,,
"Harshal Patel",,,3,46,13,51,,,5,6
"Mitchell Starc",,,14,62,11,86,,,,
"Sachin Rana",,,9,15,,,,,,
"Sandeep Warrier",,,0,,0,,,,,
"Shadab Jakati",,,1,-4,,,,,6,24
"Varun Aaron",,,10,64,5,35,,,8,6
"Ben Cutting",,,1,81,0,,,,4,78
"Ankush Bains",,,0,,0,,,,,
"A Mishra",,,0,,,,,,,
"Deepak Hooda",,,0,,13,30,,,17,22
"Rahul Tewatia",,,3,45,1,37,,,,
"Tim Southee",,,3,31,6,42,,,11,41
"Ricky Bhui",,,0,,0,,,,,
"Venugopal Rao",,,7,18,,,,,,
"Amit Paunikar",,,0,,,,,,,
"Brendan Taylor",,,0,,,,,,,
"Chama Milind",,,0,,0,,,,,
"Prasanth Parameswaran",,,0,,,,,,,
"Pratyush Singh",,,,,0,,,,,
"Eklavya Dwivedi",,,,,0,,,,4,16
"Andrew Tye",,,,,0,,,,,
"Kyle Abbott",,,,,0,,3,95,5,5
"Shreyas Iyer",,,,,13,56,,,6,13
"Travis Head",,,,,0,,,,3,28
"Marcus Stoinis",,,,,0,,,,7,77
"Kona Srikar Bharat",,,,,0,,,,,
"Domnic Joseph",,,,,6,34,,,,
"Gurinder Sandhu",,,,,2,14,,,,
"KK Jiyaz",,,,,0,,,,,
"Aditya Garhwal",,,,,0,,,,,
"Vaibhav Rawal",,,,,0,,,,,
"Sheldon Jackson",,,,,0,,,,,
"KC Cariappa",,,,,1,13,,,5,26
"Yogesh Golwalkar",,,,,0,,,,,
"Nikhil Shankar Naik",,,,,0,,,,,
"Aiden Blizzard",,,,,0,,,,,
"Alex Hales",,,,,0,,5,30,,
"Colin Munro",,,,,0,,5,40,4,16
"Hardik Pandya",,,,,9,43,5,47,11,16
"Jagadeesha Suchith",,,,,13,43,,,1,-8
"Nitish Rana",,,,,0,,,,4,45
"Siddhesh Dinesh Lad",,,,,0,,,,,
"Akshay Wakhare",,,,,0,,,,,
"Mitchell McClenaghan",,,,,12,65,4,56,14,41
"Sarfaraz Khan",,,,,11,13,,,5,25
"Shishir Bhavane",,,,,0,,,,,
"David Wiese",,,,,12,66,3,38,1,3
"Adam Milne",,,,,0,,4,41,1,28
"Sean Abbott",,,,,2,9,,,,
"Sreenath Aravind",,,,,5,69,,,9,43
"Dinesh Salunkhe",,,,,0,,,,,
"Pardeep Sahu",,,,,0,,,,5,26
"Barinder Singh Saran",,,,,1,3,,,,
"Juan Theron",,,,,1,22,,,,
"Kane Williamson",,,,,2,36,5,48,6,37
"Prasanth Padmanabhan",,,,,0,,,,,
"Ravi Bopara",,,,,9,51,,,,
"Trent Boult",,,,,7,62,,,1,42
"Aaron Phangiso",,,,,,,2,82,,
"Adam Zampa",,,,,,,4,66,5,83
"Adil Rashid",,,,,,,6,39,,
"Ahmed Shehzad",,,,,,,4,38,,
