firstname,team_id,team,firstname,num_games_2013,avg_points_2013,num_games_2014,avg_points_2014,num_games_2015,avg_points_2015,num_games_2016wc,avg_points_2016wc
"Ishwar Pandey",5,RPS,"Ishwar Pandey",2,5,13,38,10,54,,
"Irfan Pathan",5,RPS,"Irfan Pathan",15,49,10,27,0,,,
"Thisara Perera",5,RPS,"Thisara Perera",16,72,0,,2,21,4,63
"Kevin Pietersen",5,RPS,"Kevin Pietersen",,,11,41,0,,,
"Ajinkya Rahane",5,RPS,"Ajinkya Rahane",18,43,13,47,13,75,1,52
"Ishant Sharma",5,RPS,"Ishant Sharma",16,31,3,33,4,9,,
"RP Singh",5,RPS,,,,,,,,,
"Steve Smith",5,RPS,"Steve Smith",7,39,10,34,13,44,4,32
"Saurabh Tiwary",5,RPS,"Saurabh Tiwary",6,26,0,,6,35,,
"Adam Zampa",5,RPS,"Adam Zampa",,,,,,,4,66
"Virat Kohli",6,RCB,"Virat Kohli",16,73,14,45,14,70,5,105
"Varun Aaron",6,RCB,"Varun Aaron",,,10,64,5,35,,
"Abu Nechim",6,RCB,"Abu Nechim",,,4,34,3,21,,
"Sreenath Arvind",6,RCB,"Sreenath Arvind",,,,,5,69,,
"Samuel Badree",6,RCB,"Samuel Badree",1,11,4,38,0,,6,82
"Stuart Binny",6,RCB,"Stuart Binny",17,47,13,25,12,29,,
"Yuzvendra Chahal",6,RCB,"Yuzvendra Chahal",1,12,14,51,13,57,,
"AB de Villiers",6,RCB,"AB de Villiers",14,49,14,59,14,72,4,54
"Praveen Dubey",6,RCB,,,,,,,,,
"Chris Gayle",6,RCB,"Chris Gayle",16,93,9,33,12,77,5,77
"Travis Head",6,RCB,"Travis Head",,,,,0,,,
"Iqbal Abdulla",6,RCB,"Iqbal Abdulla",5,52,1,19,5,48,,
"Kedar Jadhav",6,RCB,"Kedar Jadhav",10,24,10,28,13,32,,
"Akshay Karnewar",6,RCB,,,,,,,,,
"Sarfaraz Naushad Khan",6,RCB,"Sarfaraz Naushad Khan",,,,,11,13,,
"Vikramjeet Malik",6,RCB,"Vikramjeet Malik",3,46,1,35,0,,,
"Mandeep Singh",6,RCB,"Mandeep Singh",14,28,3,12,12,29,,
"Adam Milne",6,RCB,"Adam Milne",,,,,0,,4,41
"Harshal Patel",6,RCB,"Harshal Patel",,,3,46,13,51,,
"Lokesh Rahul",6,RCB,"Lokesh Rahul",2,15,11,24,9,26,,
"Parveez Rasool",6,RCB,"Parveez Rasool",2,33,3,21,2,34,,
"Kane Richardson",6,RCB,"Kane Richardson",3,42,7,58,0,,,
"Sachin Baby",6,RCB,,,,,,,,,
"Mitchell Starc",6,RCB,"Mitchell Starc",,,14,62,11,86,,
"Vikas Tokas",6,RCB,,,,,,,,,
"Shane Watson",6,RCB,"Shane Watson",16,96,13,57,9,95,4,91
"David Wiese",6,RCB,"David Wiese",,,,,12,66,3,38
"Shikhar Dhawan",7,SRH,"Shikhar Dhawan",10,50,14,44,14,44,4,27
"Ashish Reddy",7,SRH,"Ashish Reddy",10,27,0,,6,38,,
"Ricky Bhui",7,SRH,"Ricky Bhui",,,0,,0,,,
"Bipul Sharma",7,SRH,"Bipul Sharma",1,60,,,4,34,,
"Trent Boult",7,SRH,"Trent Boult",,,,,7,62,,
"Ben Cutting",7,SRH,"Ben Cutting",,,1,81,0,,,
"Moises Henriques",7,SRH,"Moises Henriques",10,51,4,33,9,108,,
"Deepak Hooda",7,SRH,"Deepak Hooda",,,0,,13,30,,
"Siddarth Kaul",7,SRH,"Siddarth Kaul",6,38,5,12,0,,,
"Bhuvneshwar Kumar",7,SRH,"Bhuvneshwar Kumar",16,53,14,73,14,61,,
"Abhimanyu Mithun",7,SRH,"Abhimanyu Mithun",1,29,,,0,,,
"Eoin Morgan",7,SRH,"Eoin Morgan",13,39,,,9,42,6,28
"Mustafizur Rahman",7,SRH,"Mustafizur Rahman",,,,,,,3,116
"Ashish Nehra",7,SRH,"Ashish Nehra",10,34,4,61,16,71,5,45
"Naman Ojha",7,SRH,"Naman Ojha",2,5,11,47,14,21,,
"Vijay Shankar",7,SRH,"Vijay Shankar",,,1,-4,,,,
"Karn Sharma",7,SRH,"Karn Sharma",13,45,14,53,14,43,,
"Barinder Sran",7,SRH,,,,,,,,,
"Tirumalasetti Suman",7,SRH,,,,,,,,,
"Aditya Tare",7,SRH,"Aditya Tare",5,48,15,15,2,10,,
"David Warner",7,SRH,"David Warner",16,45,14,75,14,85,4,16
"Kane Williamson",7,SRH,"Kane Williamson",,,,,2,36,5,48
"Yuvraj Singh",7,SRH,"Yuvraj Singh",13,52,14,67,13,34,4,31
